fighter_1,fighter_2,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time,location
Alden Coria,Alessandro Costa,0,0,42,12,2,1,0,2,win,Alden Coria,Flyweight,KO/TKO Punches,3,0:47,"San Antonio, Texas, USA"
Montse Rendon,Alice Pereira,0,0,45,37,0,0,1,0,win,Montse Rendon,Women's Bantamweight,S-DEC,3,5:00,"San Antonio, Texas, USA"
Daniil Donchenko,Rodrigo Sezinando,1,0,39,10,1,1,0,0,win,Daniil Donchenko,Welterweight,KO/TKO Punches,1,4:27,"San Antonio, Texas, USA"
Nassourdine Imavov,Caio Borralho,0,0,81,66,0,0,0,0,win,Nassourdine Imavov,Middleweight,U-DEC,5,5:00,"Paris, Ile-de-France, France"
Benoit Saint Denis,Mauricio Ruffy,0,0,17,5,3,0,1,0,win,Benoit Saint Denis,Lightweight,SUB Rear Naked Choke,2,2:56,"Paris, Ile-de-France, France"
Modestas Bukauskas,Paul Craig,0,0,22,6,0,0,0,0,win,Modestas Bukauskas,Light Heavyweight,KO/TKO Elbow,1,5:00,"Paris, Ile-de-France, France"
Mason Jones,Bolaji Oki,1,1,57,38,2,0,1,0,win,Mason Jones,Lightweight,KO/TKO Elbows,2,3:18,"Paris, Ile-de-France, France"
Axel Sola,Rhys McKee,1,0,45,33,1,0,0,0,win,Axel Sola,Welterweight,KO/TKO Punch,3,2:02,"Paris, Ile-de-France, France"
William Gomis,Robert Ruchala,0,0,49,34,2,2,0,0,win,William Gomis,Featherweight,U-DEC,3,5:00,"Paris, Ile-de-France, France"
Oumar Sy,Brendson Ribeiro,0,0,17,5,2,0,0,0,win,Oumar Sy,Light Heavyweight,KO/TKO Punches,1,4:42,"Paris, Ile-de-France, France"
Ante Delija,Marcin Tybura,1,0,13,4,0,0,0,0,win,Ante Delija,Heavyweight,KO/TKO Punches,1,2:03,"Paris, Ile-de-France, France"
Kaue Fernandes,Harry Hardwick,1,0,24,8,0,0,0,0,win,Kaue Fernandes,Lightweight,KO/TKO Kick,1,3:21,"Paris, Ile-de-France, France"
Sam Patterson,Trey Waters,0,0,25,18,0,0,0,0,win,Sam Patterson,Welterweight,KO/TKO Punches,1,3:01,"Paris, Ile-de-France, France"
Robert Bryczek,Brad Tavares,1,0,68,42,1,1,0,0,win,Robert Bryczek,Middleweight,KO/TKO Punches,3,1:43,"Paris, Ile-de-France, France"
Rinat Fakhretdinov,Andreas Gustafsson,0,0,23,5,0,0,0,0,win,Rinat Fakhretdinov,Welterweight,KO/TKO Punches,1,0:54,"Paris, Ile-de-France, France"
Sam Hughes,Shauna Bannon,0,0,21,13,2,0,1,0,win,Sam Hughes,Women's Strawweight,SUB Rear Naked Choke,2,1:58,"Paris, Ile-de-France, France"
Johnny Walker,Zhang Mingyang,1,0,50,20,0,0,0,0,win,Johnny Walker,Light Heavyweight,KO/TKO Punches,2,2:37,"Shanghai, Hebei, China"
Aljamain Sterling,Brian Ortega,0,0,124,55,3,0,0,0,win,Aljamain Sterling,Catch Weight,U-DEC,5,5:00,"Shanghai, Hebei, China"
Sergei Pavlovich,Waldo Cortes Acosta,0,0,61,45,0,0,0,0,win,Sergei Pavlovich,Heavyweight,U-DEC,3,5:00,"Shanghai, Hebei, China"
Sumudaerji,Kevin Borjas,0,0,73,16,0,0,0,0,win,Sumudaerji,Flyweight,U-DEC,3,5:00,"Shanghai, Hebei, China"
Taiyilake Nueraji,Kiefer Crosbie,0,0,27,2,1,0,0,0,win,Taiyilake Nueraji,Welterweight,KO/TKO Elbows,1,3:33,"Shanghai, Hebei, China"
