fighter_1,fighter_2,date,location,referee,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time,title_fight
Ateba Gautier,Tre'ston Vines,2025-10-04,"Las Vegas, Nevada, USA",Marc Goddard,1,0,6,0,1,0,0,0,win,Ateba Gautier,Middleweight,KO/TKO Punches,1,00:01:41,False
Daniel Santos,JooSang Yoo,2025-10-04,"Las Vegas, Nevada, USA",Herb Dean,1,0,27,31,1,0,0,0,win,Daniel Santos,Catch Weight,KO/TKO Punch,2,00:00:21,False
Jakub Wiklacz,Patchy Mix,2025-10-04,"Las Vegas, Nevada, USA",Jason Herzog,0,0,46,37,0,5,3,0,win,Jakub Wiklacz,Bantamweight,S-DEC,3,00:05:00,False
Edmen Shahbazyan,Andre Muniz,2025-10-04,"Las Vegas, Nevada, USA",Mark Smith,1,0,25,15,0,1,0,0,win,Edmen Shahbazyan,Middleweight,KO/TKO Elbows,1,00:04:58,False
Punahele Soriano,Nikolay Veretennikov,2025-10-04,"Las Vegas, Nevada, USA",Marc Goddard,0,0,39,9,4,0,1,2,win,Punahele Soriano,Welterweight,U-DEC,3,00:05:00,False
Yana Santos,Macy Chiasson,2025-10-04,"Las Vegas, Nevada, USA",Chris Tognoni,0,0,65,54,0,2,0,1,win,Yana Santos,Women's Bantamweight,U-DEC,3,00:05:00,False
Farid Basharat,Chris Gutierrez,2025-10-04,"Las Vegas, Nevada, USA",Herb Dean,0,0,41,31,2,1,0,0,win,Farid Basharat,Bantamweight,U-DEC,3,00:05:00,False
Ramiz Brahimaj,Austin Vanderford,2025-10-04,"Las Vegas, Nevada, USA",Mark Smith,0,0,21,5,0,3,2,0,win,Ramiz Brahimaj,Welterweight,SUB Guillotine Choke,2,00:02:24,False
Veronica Hardy,Brogan Walker,2025-10-04,"Las Vegas, Nevada, USA",Jason Herzog,1,0,39,22,0,3,1,0,win,Veronica Hardy,Women's Flyweight,U-DEC,3,00:05:00,False
Carlos Ulberg,Dominick Reyes,2025-09-27,"Perth, Western Australia, Australia",Marc Goddard,1,0,11,5,0,0,0,0,win,Carlos Ulberg,Light Heavyweight,KO/TKO Punches,1,00:04:27,False
Jimmy Crute,Ivan Erslan,2025-09-27,"Perth, Western Australia, Australia",Mike Beltran,0,0,12,10,2,0,1,0,win,Jimmy Crute,Light Heavyweight,SUB Rear Naked Choke,1,00:03:19,False
Jack Jenkins,Ramon Taveras,2025-09-27,"Perth, Western Australia, Australia",Marc Goddard,0,0,65,43,3,0,1,0,win,Jack Jenkins,Featherweight,U-DEC,3,00:05:00,False
Neil Magny,Jake Matthews,2025-09-27,"Perth, Western Australia, Australia",Jim Perdios,0,0,31,18,3,0,1,3,win,Neil Magny,Welterweight,SUB D'Arce Choke,3,00:03:08,False
Tom Nolan,Charlie Campbell,2025-09-27,"Perth, Western Australia, Australia",Jim Perdios,0,0,26,15,1,0,1,0,win,Tom Nolan,Lightweight,SUB Rear Naked Choke,1,00:04:08,False
Navajo Stirling,Rodolfo Bellato,2025-09-27,"Perth, Western Australia, Australia",Mike Beltran,0,0,81,43,1,2,0,0,win,Navajo Stirling,Light Heavyweight,U-DEC,3,00:05:00,False
